SG_ID SG_name n_cuts t_sample[ms]
 ---
0   GL0    3  0.1191
1   GL1    3  0.1513
2   GL4    3  0.1171
3   GL5    3  0.1469
4   GL8    1  0.0129
5   GL9    1  0.0153
6   GL12   1  0.0138
7   GL13   1  0.0165
8   GL16   6  0.3939
9   GL18   6  0.6481
10  GL24   2  0.0643
11  GL26   2  0.0881
12  GL28   3  0.1127
13  GL30   3  0.2255
14  GL32   2  0.0300
15  GL34   4  0.1245
16  GL36   2  0.0193
17  GL38   2  0.0658
18  GL40   4  0.2856
19  GL42   2  0.0318
20  GL44   4  0.0805
21  GL46   4  0.0959
22  GL80   3  0.0440
23  GL82   6  0.3299
24  GL84   3  0.1102
25  GL86   3  0.1075
26  GL88   6  0.2621
27  GL94   1  0.0089
28  GL96   1  0.0099
29  GL98   2  0.0234
30  GL100  2  0.0442
31  GL102  3  0.2415
32  GL104  2  0.0314
33  GL106  2  0.0272
34  GL112  5  0.1113
35  GL114  5  0.1190
36  GL116  1  0.0141
37  GL118  1  0.0150
38  GL120  10 0.2041
39  GL122  5  0.0342
40  GL124  10 0.1961
41  GL130  2  0.0086
42  GL132  2  0.0098
43  GL134  3  0.0245
44  GL136  5  0.0401
45  GL138  3  0.0288
46  GL144  5  0.0857
47  GL146  5  0.0928
48  GL148  1  0.0120
49  GL150  1  0.0129
50  GL152  3  0.1642
51  GL154  3  0.3465
52  GL156  1  0.0183
53  GL158  1  0.0295
54  GL160  9  0.1971
55  GL162  9  0.2132
56  GL164  11 0.2624
57  GL166  11 0.2884
58  GL176  1  0.0070
59  GL178  1  0.0071
60  GL180  1  0.0069
61  GL182  1  0.0077
62  GL188  3  0.0282
63  GL190  4  0.0356
64  GL196  3  0.0320
65  GL198  4  0.0303
66  GL200  3  0.0207
67  GL202  4  0.0178
68  GL204  6  0.1075
69  GL206  8  0.1422
70  GL212  3  0.0149
71  GL218  2  0.0118
72  GL220  3  0.0275
73  GL222  6  0.0981
74  GL224  3  0.0152
75  GL226  4  0.0276
76  GL228  6  0.0921
77  GL230  4  0.0231
78  GL232  8  0.1295
79  GL238  2  0.0134
80  GL244  4  0.0351
81  GL246  6  0.0890
82  GL256  4  0.0327
83  GL258  10 0.2132
84  GL260  5  0.0424
85  GL262  10 0.2062
86  GL268  2  0.0118
87  GL270  2  0.0137
88  GL272  3  0.0277
89  GL274  5  0.0558
90  GL276  3  0.0346
91  GL278  3  0.1490
92  GL280  3  0.1612
93  GL282  1  0.0148
94  GL284  1  0.0167
95  GL286  3  0.1851
96  GL288  3  0.1862
97  GL290  1  0.0178
98  GL292  1  0.0204
99  GL294  3  0.1570
100 GL296  3  0.1430
101 GL298  1  0.0149
102 GL300  1  0.0155
103 GL362  1  0.0141
104 GL364  1  0.0262
105 GL366  4  0.2579
106 GL368  4  0.3213
107 GL370  2  0.1463
108 GL372  2  0.3307
109 GL374  4  0.0248
110 GL376  6  0.0311
111 GL378  6  0.0351
112 GL382  4  0.0245
113 GL384  4  0.0303
114 GL386  7  0.1465
115 GL388  7  0.1434
116 GL394  6  0.4303
117 GL396  6  0.7154
118 GL402  2  0.0415
119 GL404  2  0.1093
120 GL406  3  0.1479
121 GL408  3  0.2566
122 GL416  6  0.4067
123 GL418  6  0.5859
124 GL424  2  0.0744
125 GL426  2  0.0908
126 GL428  3  0.1151
127 GL430  3  0.2307
128 GL440  6  0.3901
129 GL442  6  0.6363
130 GL448  2  0.0654
131 GL450  2  0.0945
132 GL452  3  0.1149
133 GL454  3  0.2296
134 GL168  7  0.1769
135 GL172  7  0.1695
136 GL208  5  0.1322
137 GL380  3  0.0297
