+--------+-----------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                                    |
+--------+-----------------------------------------------------------------------------------------------------+
| Total  | 0.0 +- 0.0 (0%)                   | chi2=1.0|mwi=1.0|n=0.0M(1e+02%)|n0=0.0M(0.0e+00%)               |
| Sum    | 0.0 +- 0.0 (0%)                                                                                     |
| GL218  | +0.000106706 +- 1.33e-05 (12%)    | chi2=0.826|mwi=2.95|n=17691.7M(44%)|n0=16.0M(0.09%)|p=46%       | v
| GL32   | -7.57847e-05 +- 1.37e-05 (18%)    | chi2=0.858|mwi=2.12|n=22308.3M(56%)|n0=8.3M(0.037%)|p=54%       | v
| GL366  | -6.84481e-05 +- 1.22e-05 (18%)    | chi2=1.06|mwi=2.25|n=706.7M(2.5%)|n0=0.0M(4.2e-07%)|p=4.1%      |
| GL80   | +4.07439e-05 +- 1.2e-05  (29%)    | chi2=0.983|mwi=1.17|n=1343.0M(4.8%)|n0=0.0M(7.2e-05%)|p=5.5%    |
| GL106  | +2.50616e-05 +- 9.93e-06 (40%)    | chi2=1.1|mwi=1.02|n=543.1M(2%)|n0=0.0M(3.7e-07%)|p=2.9%         |
| GL28   | -0.00150262  +- 1.17e-05 (0.78%)  | chi2=4.57|mwi=1.04|n=917.5M(92%)|n0=0.5M(0.054%)|p=98%          | v
| GL82   | +3.05074e-05 +- 4.88e-06 (16%)    | chi2=0.957|mwi=15.2|n=124.1M(0.45%)|n0=0.0M(0.00096%)|p=0.68%   | x
| GL94   | -9.17274e-05 +- 5.03e-06 (5.5%)   | chi2=1.32|mwi=156|n=845.0M(35%)|n0=0.9M(0.11%)|p=7.7%           | v
| GL88   | -2.41186e-05 +- 4.17e-06 (17%)    | chi2=1.04|mwi=5.4|n=92.5M(0.33%)|n0=0.0M(9.8e-05%)|p=0.5%       |
| GL46   | +8.30075e-06 +- 3.88e-06 (47%)    | chi2=0.99|mwi=12.9|n=84.0M(0.3%)|n0=0.0M(4.8e-06%)|p=0.45%      | x
| GL44   | -9.50512e-06 +- 3.78e-06 (40%)    | chi2=1.02|mwi=5.02|n=84.9M(0.31%)|n0=0.0M(2.4e-06%)|p=0.44%     |
| GL40   | +3.3405e-06  +- 2.45e-06 (73%)    | chi2=0.986|mwi=2.63|n=37.1M(0.13%)|n0=0.0M(0%)|p=0.19%          |
| GL268  | +0.000145742 +- 2.28e-06 (1.6%)   | chi2=1.26|mwi=4.13|n=38.0M(0.14%)|n0=0.0M(5.3e-06%)|p=0.18%     |
| GL86   | +1.75234e-05 +- 2.23e-06 (13%)    | chi2=0.976|mwi=7.11|n=26.4M(0.095%)|n0=0.0M(3e-05%)|p=0.14%     |
| GL100  | +7.72465e-06 +- 1.87e-06 (24%)    | chi2=1.03|mwi=12.7|n=24.8M(0.089%)|n0=0.0M(4e-06%)|p=0.12%      | x
| GL24   | +3.6174e-05  +- 1.63e-06 (4.5%)   | chi2=3.38|mwi=15.2|n=20.7M(0.075%)|n0=0.0M(0%)|p=0.093%         | x
| GL368  | +9.45389e-06 +- 1.59e-06 (17%)    | chi2=1.07|mwi=35.9|n=16.7M(0.06%)|n0=0.0M(0%)|p=0.081%          | x
| GL34   | +2.82562e-05 +- 1.45e-06 (5.1%)   | chi2=0.997|mwi=3.36|n=18.5M(0.067%)|n0=0.0M(0%)|p=0.078%        |
| GL1    | +0.000873429 +- 6.17e-06 (0.71%)  | chi2=0.896|mwi=3.6|n=202.4M(8.4%)|n0=0.2M(0.092%)|p=4.7%        | v
| GL370  | -1.28174e-05 +- 1.23e-06 (9.6%)   | chi2=1.04|mwi=1.83|n=21.4M(0.077%)|n0=0.0M(8e-05%)|p=0.071%     |
| GL38   | -1.4473e-05  +- 1.05e-06 (7.2%)   | chi2=1.11|mwi=37.8|n=13.4M(0.048%)|n0=0.0M(0%)|p=0.048%         | x
| GL30   | +0.000914623 +- 3.51e-05 (3.8%)   | chi2=0.833|mwi=1.25|n=606.6M(25%)|n0=0.3M(0.05%)|p=57%          | v
| GL402  | +0.000119741 +- 1.52e-06 (1.3%)   | chi2=0.935|mwi=6.88|n=48.6M(2%)|n0=0.2M(0.47%)|p=0.58%          | v
| GL382  | +6.12888e-05 +- 7.02e-07 (1.1%)   | chi2=2.3|mwi=6.17|n=12.2M(0.044%)|n0=0.0M(0.00068%)|p=0.04%     | x
