+--------+-----------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                              |
+--------+-----------------------------------------------------------------------------------------------+
| Total  | -0.0516279   +- 0.0316   (61%)    | chi2=0|mwi=0.654|n=1000.0M(1e+02%)|n0=2.5M(0.25%)         |
| Sum    | -0.0516271   +- 0.0316   (61%)                                                                |
| GL94   | -0.032861    +- 0.024    (73%)    | chi2=0|mwi=0.86|n=7.5M(0.75%)|n0=0.1M(0.68%)|p=0.75%      |
| GL80   | -0.019561    +- 0.0199   (1e+02%) | chi2=0|mwi=1|n=7.5M(0.75%)|n0=0.0M(0.0013%)|p=0.75%       |
| GL32   | +0.000783538 +- 0.00458  (5.8e+02%) | chi2=0|mwi=0.517|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%   |
| GL272  | +0.000880927 +- 0.000864 (98%)    | chi2=0|mwi=1|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%         |
| GL30   | -0.000207379 +- 0.000767 (3.7e+02%) | chi2=0|mwi=0.989|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%   |
| GL218  | +8.08592e-05 +- 0.00057  (7.1e+02%) | chi2=0|mwi=0.78|n=7.5M(0.75%)|n0=0.1M(0.68%)|p=0.75%    |
| GL366  | -0.000637106 +- 0.000562 (88%)    | chi2=0|mwi=0.45|n=7.5M(0.75%)|n0=0.0M(0.001%)|p=0.75%     |
| GL28   | -0.00164677  +- 0.000537 (33%)    | chi2=0|mwi=0.893|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL1    | +0.00118238  +- 0.000481 (41%)    | chi2=0|mwi=0.855|n=7.5M(0.75%)|n0=0.0M(0.33%)|p=0.75%     |
| GL106  | +0.000352943 +- 0.000454 (1.3e+02%) | chi2=0|mwi=0.87|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%    |
| GL96   | +0.000404885 +- 0.000388 (96%)    | chi2=0|mwi=0.96|n=7.5M(0.75%)|n0=0.1M(0.69%)|p=0.75%      |
| GL5    | -0.000902504 +- 0.00036  (40%)    | chi2=0|mwi=0.947|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL46   | +0.000193571 +- 0.00023  (1.2e+02%) | chi2=0|mwi=0.933|n=7.5M(0.75%)|n0=0.0M(0%)|p=0.75%      |
| GL24   | +0.000492945 +- 0.000229 (46%)    | chi2=0|mwi=0.981|n=7.5M(0.75%)|n0=0.1M(0.69%)|p=0.75%     |
| GL82   | -0.000209488 +- 0.000219 (1e+02%) | chi2=0|mwi=0.5|n=7.5M(0.75%)|n0=0.0M(0.00056%)|p=0.75%    |
| GL370  | -0.000239918 +- 0.000164 (68%)    | chi2=0|mwi=0.44|n=7.5M(0.75%)|n0=0.0M(0.0015%)|p=0.75%    |
| GL268  | +0.000278389 +- 0.000147 (53%)    | chi2=0|mwi=0.972|n=7.5M(0.75%)|n0=0.1M(0.68%)|p=0.75%     |
| GL44   | +6.71136e-05 +- 0.00014  (2.1e+02%) | chi2=0|mwi=0.616|n=7.5M(0.75%)|n0=0.0M(0%)|p=0.75%      |
| GL88   | -0.000130097 +- 0.000131 (1e+02%) | chi2=0|mwi=0.634|n=7.5M(0.75%)|n0=0.0M(6.7e-05%)|p=0.75%  |
| GL104  | +0.000114413 +- 0.000131 (1.1e+02%) | chi2=0|mwi=0.824|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%   |
| GL100  | +0.000115674 +- 0.000111 (96%)    | chi2=0|mwi=0.887|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL86   | -3.72413e-05 +- 8.52e-05 (2.3e+02%) | chi2=0|mwi=0.667|n=7.5M(0.75%)|n0=0.0M(0.0013%)|p=0.75% |
| GL402  | +0.000160561 +- 8.47e-05 (53%)    | chi2=0|mwi=0.948|n=7.5M(0.75%)|n0=0.1M(0.68%)|p=0.75%     |
| GL42   | +4.38609e-05 +- 7.78e-05 (1.8e+02%) | chi2=0|mwi=0.938|n=7.5M(0.75%)|n0=0.0M(0.0016%)|p=0.75% |
| GL26   | -0.000296624 +- 7.4e-05  (25%)    | chi2=0|mwi=0.727|n=7.5M(0.75%)|n0=0.1M(0.69%)|p=0.75%     |
| GL38   | -2.46383e-05 +- 7.28e-05 (3e+02%) | chi2=0|mwi=0.556|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL372  | -0.000103716 +- 6.44e-05 (62%)    | chi2=0|mwi=0.722|n=7.5M(0.75%)|n0=0.0M(0.0016%)|p=0.75%   |
| GL130  | -4.43939e-05 +- 3.89e-05 (88%)    | chi2=0|mwi=0.998|n=7.5M(0.75%)|n0=0.1M(0.69%)|p=0.75%     |
| GL18   | -8.90135e-05 +- 3.75e-05 (42%)    | chi2=0|mwi=0.905|n=7.5M(0.75%)|n0=0.0M(0.0018%)|p=0.75%   |
| GL260  | -7.32656e-05 +- 3.75e-05 (51%)    | chi2=0|mwi=0.978|n=7.5M(0.75%)|n0=0.0M(0.0011%)|p=0.75%   |
| GL40   | +1.53096e-05 +- 3.75e-05 (2.4e+02%) | chi2=0|mwi=0.483|n=7.5M(0.75%)|n0=0.0M(0.0012%)|p=0.75% |
