Run description: 80TeV_final_large_iterations (run id: 12347)
Result after 998.4M evaluations and 3 iterations: 0.00027144 +/- 0.001271   (4.7e+02%), chi2=0.461, max_wgt_infl=1.07, zero_evals=0.0978%
  -> Re[I0(mu_r_x_1)] = 0.00027144 +/- 0.0012707 (4.7e+02%), chi2=1.38, max_wgt_infl=1.07, zero_evals=0.0978%
     Im[I0(mu_r_x_1)] = 3.6142e-35 +/- 3.6142e-35 (1e+02%), chi2=1.34e+08, max_wgt_infl=2.37e+23, zero_evals=100%
+--------+----------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                                   |
+--------+----------------------------------------------------------------------------------------------------+
| Total  | +0.00027144  +- 0.00127  (4.7e+02%) | chi2=0.461|mwi=1.07|n=998.4M(1e+02%)|n0=1.0M(0.098%)         |
| Sum    | +0.000121573 +- 0.000875 (7.2e+02%)                                                                |
| GL32   | +0.000357177 +- 0.000583 (1.6e+02%) | chi2=0.709|mwi=1.7|n=329.7M(33%)|n0=0.1M(0.037%)|p=45%       |
| GL218  | -5.47242e-05 +- 0.000383 (7e+02%) | chi2=0.753|mwi=1.51|n=138.2M(14%)|n0=0.1M(0.083%)|p=24%        |
| GL80   | +4.57009e-05 +- 0.000245 (5.4e+02%) | chi2=0.314|mwi=0.747|n=25.1M(2.5%)|n0=0.0M(0.00019%)|p=3.5%  |
| GL366  | +0.000189061 +- 0.000226 (1.2e+02%) | chi2=0.444|mwi=0.642|n=20.1M(2%)|n0=0.0M(0.00017%)|p=2.7%    |
| GL106  | -0.000188825 +- 0.000217 (1.1e+02%) | chi2=0.456|mwi=1.97|n=11.9M(1.2%)|n0=0.0M(0.09%)|p=1.6%      |
| GL94   | -0.000261005 +- 0.000198 (76%)    | chi2=2.13|mwi=1.62|n=49.3M(4.9%)|n0=0.0M(0.098%)|p=8.8%        |
| GL24   | +0.000563987 +- 0.000161 (29%)    | chi2=0.551|mwi=4.57|n=73.7M(7.4%)|n0=0.1M(0.099%)|p=3.9%       |
| GL5    | -0.00065704  +- 0.000109 (17%)    | chi2=0.819|mwi=1.14|n=6.1M(0.61%)|n0=0.0M(0.12%)|p=0.71%       |
| GL28   | -0.00090419  +- 9.41e-05 (10%)    | chi2=7.57|mwi=0.45|n=4.7M(0.47%)|n0=0.0M(0.17%)|p=0.44%        |
| GL44   | +2.26108e-05 +- 8.02e-05 (3.5e+02%) | chi2=0.665|mwi=1.22|n=8.3M(0.84%)|n0=0.0M(1.2e-05%)|p=0.54%  |
| GL88   | -4.3712e-05  +- 6.73e-05 (1.5e+02%) | chi2=1.75|mwi=1.82|n=14.2M(1.4%)|n0=0.0M(5.6e-05%)|p=0.73%   |
